id,name,iconUrl,ncaaUrl
ark-pine-bluff,University of Arkansas-Pine Bluff,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ark-pine-bluff.svg,https://www.ncaa.com/schools/ark-pine-bluff
arkansas,University of Arkansas,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arkansas.svg,https://www.ncaa.com/schools/arkansas
arkansas-st,Arkansas State University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arkansas-st.svg,https://www.ncaa.com/schools/arkansas-st
arkansas-tech,Arkansas Tech University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arkansas-tech.svg,https://www.ncaa.com/schools/arkansas-tech
armstrong,Armstrong State University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/armstrong.svg,https://www.ncaa.com/schools/armstrong
army,Army West Point,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/army.svg,https://www.ncaa.com/schools/army
asbury,Asbury University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/asbury.svg,https://www.ncaa.com/schools/asbury
ashland,Ashland University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ashland.svg,https://www.ncaa.com/schools/ashland
assumption,Assumption College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/assumption.svg,https://www.ncaa.com/schools/assumption
aub-montgomery,,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/aub-montgomery.svg,https://www.ncaa.com/schools/aub-montgomery
auburn,Auburn University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/auburn.svg,https://www.ncaa.com/schools/auburn
augsburg,Augsburg University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/augsburg.svg,https://www.ncaa.com/schools/augsburg
augustana-il,Augustana College (IL),https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/augustana-il.svg,https://www.ncaa.com/schools/augustana-il
augustana-sd,Augustana University (SD),https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/augustana-sd.svg,https://www.ncaa.com/schools/augustana-sd
aurora,Aurora University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/aurora.svg,https://www.ncaa.com/schools/aurora
austin,Austin College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/austin.svg,https://www.ncaa.com/schools/austin
austin-peay,Austin Peay State University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/austin-peay.svg,https://www.ncaa.com/schools/austin-peay
averett,Averett University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/averett.svg,https://www.ncaa.com/schools/averett
azusa-pacific,Azusa Pacific University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/azusa-pacific.svg,https://www.ncaa.com/schools/azusa-pacific
babson,Babson College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/babson.svg,https://www.ncaa.com/schools/babson
bakersfield,CSU Bakersfield,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bakersfield.svg,https://www.ncaa.com/schools/bakersfield
baldwin-wallace,Baldwin Wallace University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/baldwin-wallace.svg,https://www.ncaa.com/schools/baldwin-wallace
ball-st,Ball State University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ball-st.svg,https://www.ncaa.com/schools/ball-st
baptist-bible-pa,Clarks Summit University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/baptist-bible-pa.svg,https://www.ncaa.com/schools/baptist-bible-pa
bard,Bard College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bard.svg,https://www.ncaa.com/schools/bard
